username,followers,followings,has_biography,is_private,has_name,posts,has_profile_picture,bio_lenght,following_to_follower_ratio,following_to_post_ratio,follower_to_post_ratio,name_only_alphabet,LCSofNameAndUsername_to_name_ratio,number_in_username_ratio,is_fake
123s456s789ss,55,4599,0,0,1,0,0,0,83.61818182,1.00E+12,1.00E+12,1,1,0.692307692,1
14qqqqpppp15,41,4144,0,0,0,0,0,0,101.0731707,1.00E+12,1.00E+12,1,0,0.333333333,1
ikchwan2019,14,495,0,0,0,0,0,0,35.35714286,1.00E+12,1.00E+12,1,0,0.363636364,1
hjkl77880,11,1333,0,0,1,0,0,0,121.1818182,1.00E+12,1.00E+12,0,1,0.555555556,1
lakol5,93,7144,0,0,1,0,0,0,76.8172043,1.00E+12,1.00E+12,0,0.555555556,0.166666667,1
saber_kais77,23,1896,0,0,1,0,0,0,82.43478261,1.00E+12,1.00E+12,0,0.5,0.166666667,1
shahabishahab70,202,7150,0,1,1,1,0,0,35.3960396,7150,202,1,0,0.133333333,1
mneer43mneer,18,3482,0,0,1,0,0,0,193.4444444,1.00E+12,1.00E+12,1,0,0.166666667,1
asdrtmojk,28,2029,0,0,1,0,0,0,72.46428571,1.00E+12,1.00E+12,1,0,0,1
v.dadpour,113,127,1,1,1,10,1,31,1.123893805,12.7,11.3,1,0.166666667,0,0
mariyana_1990,1,329,1,1,1,134,1,48,329,2.455223881,0.007462687,0,0,0.307692308,0
ma.li5888,108,231,0,1,1,13,1,0,2.138888889,17.76923077,8.307692308,1,1,0.444444444,0
zarm42,6,100,0,1,1,6,1,0,16.66666667,16.66666667,1,0,0.75,0.333333333,0
saraaaa.sadafiiiiii2020,104,785,1,1,0,63,1,34,7.548076923,12.46031746,1.650793651,1,0,0.173913043,0
maryam_pzhman,722,240,0,1,0,16,1,0,0.332409972,15,45.125,1,0,0,0
rahil___pv_,87,123,0,0,0,0,0,0,1.413793103,1.00E+12,1.00E+12,1,0,0,0
mohssn.alsodane2015,495,1606,0,0,1,150,1,0,3.244444444,10.70666667,3.3,0,0.043478261,0.210526316,0
niillw_,183,941,0,1,1,21,1,0,5.142076503,44.80952381,8.714285714,0,0.111111111,0,0
afsaneh.mzh,793,1920,1,1,1,76,1,34,2.421185372,25.26315789,10.43421053,0,0.304347826,0,0
aylin__th,0,562,0,1,1,0,0,0,1.00E+12,1.00E+12,1.00E+12,1,1,0,0
shiva_shahpasandi,33,466,0,1,1,41,1,0,14.12121212,11.36585366,0.804878049,0,0.842105263,0,0
armidembroidery,15,43,1,0,1,6,1,87,2.866666667,7.166666667,2.5,1,1,0,0
shkhr7366,14,42,0,0,1,11,1,0,3,3.818181818,1.272727273,0,0.181818182,0.444444444,0
sh_yl2716,114,60,0,0,1,20,1,0,0.526315789,3,5.7,0,0,0.444444444,0
miss__hadis.sh,153,461,1,1,0,2,1,83,3.013071895,230.5,76.5,1,0,0,0
sarviiin9547,341,832,0,1,1,92,1,0,2.439882698,9.043478261,3.706521739,1,1,0.333333333,0
mohamaadrazanajafi98,122,609,1,1,1,20,1,40,4.991803279,30.45,6.1,1,0,0.1,0
ygne._.ny,106,115,1,1,1,0,0,33,1.08490566,1.00E+12,1.00E+12,1,1,0,0
rahele.heidari21,4639,2359,1,1,1,33,1,119,0.508514766,71.48484848,140.5757576,0,0.315789474,0.125,0
soheyla3797,102,142,1,1,1,10,1,32,1.392156863,14.2,10.2,0,0.5,0.363636364,0
amir6280mahdi,81,42,0,0,1,1,1,0,0.518518519,42,81,1,0,0.307692308,0
mina.maleki2020,57,193,1,1,1,175,1,32,3.385964912,1.102857143,0.325714286,1,1,0.266666667,0
maryam._moqdm,322,2542,0,1,0,125,1,0,7.894409938,20.336,2.576,1,0,0,0
zahranosrtabadi,1526,1956,1,1,1,6,1,90,1.281782438,326,254.3333333,0,0.45,0,0
maryam.mg1368,1844,3766,1,1,1,179,1,25,2.042299349,21.03910615,10.30167598,0,0.461538462,0.307692308,0
fahymh.kamalian67,123,204,0,0,1,0,1,0,1.658536585,1.00E+12,1.00E+12,0,0,0.117647059,0
aisaan.art1993,1060,1907,1,0,1,35,1,67,1.799056604,54.48571429,30.28571429,0,0.538461538,0.285714286,0
mahtab.n4208,187,261,0,1,1,61,1,0,1.395721925,4.278688525,3.06557377,0,0.4,0.333333333,0
samirafathi1368,26,154,0,1,0,1,1,0,5.923076923,154,26,1,0,0.266666667,0
h_jast_m1448,271,546,1,1,1,190,1,103,2.014760148,2.873684211,1.426315789,0,0.125,0.333333333,0
azamjb333,372,1027,0,1,1,152,1,0,2.760752688,6.756578947,2.447368421,0,0,0.333333333,0
taibakhsh.m_2017,39,708,0,1,1,33,1,0,18.15384615,21.45454545,1.181818182,0,0.222222222,0.25,0
nasrin_rabiiakhzar,24,49,0,1,1,0,0,0,2.041666667,1.00E+12,1.00E+12,0,0.611111111,0,0
sariina.nvn,32,106,0,0,1,0,0,0,3.3125,1.00E+12,1.00E+12,0,0.636363636,0,0
farzaneh_sadat_nazem,61,921,0,1,1,10,1,0,15.09836066,92.1,6.1,0,0,0,0
